id;first_name;last_name;email;role;phone;timezone;active;;;;;;;;;;;;;;;;
21;Juliana;Rocha;juliana.rocha@olv.com.br;coordenadora;+55 11 9555-1010;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
22;Camila;Fonseca;camila.fonseca@olv.com.br;assistente;+55 11 9777-1212;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
23;Anderson;Teixeira;anderson.teixeira@olv.com.br;analista_crm;+55 11 9444-3434;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
24;Bruna;Silveira;bruna.silveira@olv.com.br;pre_vendedor;+55 11 9333-5656;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
25;Hugo;Pereira;hugo.pereira@olv.com.br;vendedor;+55 11 9222-7878;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
26;Luana;Oliveira;luana.oliveira@olv.com.br;coordenadora;+55 11 9555-9090;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
27;Marcelo;Costa;marcelo.costa@olv.com.br;gerente;+55 11 9111-1111;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
28;Cecilia;Martins;cecilia.martins@olv.com.br;assistente;+55 11 9333-2323;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
29;Renato;Lopes;renato.lopes@olv.com.br;analista_crm;+55 11 9888-4545;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
30;Tatiana;Carneiro;tatiana.carneiro@olv.com.br;pre_vendedor;+55 11 9444-6767;America/Sao_Paulo;TRUE;;;;;;;;;;;;;;;;
34432052;;;;;;;;;;;;;;;;;;;;;;;
34432074;;;;;;;;;;;;;;;;;;;;;;;
34432067;;;;;;;;;;;;;;;;;;;;;;;
34432069;;;;;;;;;;;;;;;;;;;;;;;
34432077;;;;;;;;;;;;;;;;;;;;;;;
34425513;;;;;;;;;;;;;;;;;;;;;;;
34425524;;;;;;;;;;;;;;;;;;;;;;;
34425515;;;;;;;;;;;;;;;;;;;;;;;
34432075;;;;;;;;;;;;;;;;;;;;;;;
34425518;;;;;;;;;;;;;;;;;;;;;;;
34432070;;;;;;;;;;;;;;;;;;;;;;;
34425525;;;;;;;;;;;;;;;;;;;;;;;
34425511;;;;;;;;;;;;;;;;;;;;;;;
34432078;;;;;;;;;;;;;;;;;;;;;;;
34432073;;;;;;;;;;;;;;;;;;;;;;;
34425526;;;;;;;;;;;;;;;;;;;;;;;
34425521;;;;;;;;;;;;;;;;;;;;;;;
34425510;;;;;;;;;;;;;;;;;;;;;;;
34425508;;;;;;;;;;;;;;;;;;;;;;;
34432081;;;;;;;;;;;;;;;;;;;;;;;
34432066;;;;;;;;;;;;;;;;;;;;;;;
34425516;;;;;;;;;;;;;;;;;;;;;;;
34425514;;;;;;;;;;;;;;;;;;;;;;;
34432076;;;;;;;;;;;;;;;;;;;;;;;
34425523;;;;;;;;;;;;;;;;;;;;;;;
34425509;;;;;;;;;;;;;;;;;;;;;;;
34425507;;;;;;;;;;;;;;;;;;;;;;;
34432047;;;;;;;;;;;;;;;;;;;;;;;
34432046;;;;;;;;;;;;;;;;;;;;;;;
34432044;;;;;;;;;;;;;;;;;;;;;;;
34432072;;;;;;;;;;;;;;;;;;;;;;;
34432080;;;;;;;;;;;;;;;;;;;;;;;
34432045;;;;;;;;;;;;;;;;;;;;;;;
34425517;;;;;;;;;;;;;;;;;;;;;;;
34425522;;;;;;;;;;;;;;;;;;;;;;;
34432057;;;;;;;;;;;;;;;;;;;;;;;
34425512;;;;;;;;;;;;;;;;;;;;;;;
